snapshot_date,policy_start_year,business_type_category,chengdu_branch,second_level_organization,third_level_organization,customer_category_3,insurance_type,is_new_energy_vehicle,coverage_type,is_transferred_vehicle,renewal_status,vehicle_insurance_grade,highway_risk_grade,large_truck_score,small_truck_score,terminal_source,signed_premium_yuan,matured_premium_yuan,policy_count,claim_case_count,reported_claim_payment_yuan,expense_amount_yuan,commercial_premium_before_discount_yuan,premium_plan_yuan,marginal_contribution_amount_yuan,week_number
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,主全,False,续保,,,A,,0110融合销售,3381.13,1959.20266390149,1,0,0.0,81.48999999999985,1959.20266390149,0,1911.9831174536064,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,主全,False,续保,,,C,,0110融合销售,7184.91,3604.614,1,0,0.0,313.5499999999997,3604.614,0,3447.3083803471445,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,主全,False,转保,,,B,,0110融合销售,3381.13,2417.73953424658,1,0,0.0,142.68,2417.73953424658,0,2315.71356164384,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,交三,False,续保,,,A,,0110融合销售,29298.9,11963.5987919633,4,2,3754.56,1076.9999999999986,11963.5987919633,0,7769.268155559041,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,交三,False,续保,,,B,,0110融合销售,30007.54,16556.7349823148,4,2,201275.69,771.7499999999994,16556.7349823148,0,-185144.770003605,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,交三,False,续保,,,C,,0110融合销售,16483.01,9515.410970977531,3,2,4526.42,487.72000000000065,9515.410970977531,0,4707.4370412787,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,交三,False,续保,,,D,,0110融合销售,15637.73,8756.20362125742,2,1,1428.63,378.2599999999992,8756.20362125742,0,7115.770400343846,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,交三,False,转保,,,A,,0110融合销售,4226.42,3045.33824657534,1,2,4263.42,240.91000000000005,3045.33824657534,0,-1391.6689589040968,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,交三,True,续保,,,,,0110融合销售,4226.42,1597.9341369863,0,0,0.0,332.62,1597.9341369863,0,1472.176438356163,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,交三,True,转保,,,,,0110融合销售,12679.26,6588.583506849311,2,1,745.0,618.7499999999995,6588.583506849311,0,5522.059534246571,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,单交,False,续保,,,A,,0110融合销售,10143.39,4251.54948733037,1,0,0.0,237.69000000000037,4251.54948733037,0,4151.922952449669,49
2025-12-07,2025,10吨以上-普货,成都,四川,青羊,营业货车,交强险,False,单交,False,续保,,,C,,0106移动展业(App),3381.13,657.699260273973,0,0,0.0,0.0,657.699260273973,0,657.699260273973,49
